name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Sweet potato, frozen, cooked, baked, without salt	Vegetables and Vegetable Products	1.71	0.035	0.008	1.8	0.0091	0.377	23.4	9.17	0.12	73.7	100	0.025	0.005	0.049	31211
Taro leaves, raw	Vegetables and Vegetable Products	4.98	0.107	0.003	3.7	0.052	0.648	6.7	3.01	0.74	85.66	42	0.151	0.06	0.307	31215
Taro, cooked, with salt	Vegetables and Vegetable Products	0.52	0.018	0.251	5.1	0.005	0.484	34.6	0.49	0.11	63.8	142	0.023	0.009	0.046	31218
Taro, cooked, without salt	Vegetables and Vegetable Products	0.52	0.018	0.015	5.1	0.005	0.484	34.6	0.49	0.11	63.8	142	0.023	0.009	0.046	31219
Taro, raw	Vegetables and Vegetable Products	1.5	0.043	0.011	4.1	0.0045	0.591	26.46	0.4	0.2	70.64	112	0.041	0.016	0.083	31221
Tomatillos, raw	Vegetables and Vegetable Products	0.96	0.007	0.001	1.9	0.0117	0.268	5.84	3.93	1.02	91.63	32	0.139	0.155	0.417	31226
Tomato and vegetable juice, low sodium	Vegetables and Vegetable Products	0.6	0.011	0.07	0.8	0.0277	0.193	4.59	3.8	0.1	93.5	22	0.014	0.016	0.042	31227
Tomato juice, canned, with salt added	Vegetables and Vegetable Products	0.76	0.01	0.269	0.4	0.0183	0.229	4.24	3.56	0.05	93.9	17	0.008	0.009	0.024	31228
Tomato juice, canned, without salt added	Vegetables and Vegetable Products	0.76	0.01	0.01	0.4	0.0183	0.229	4.24	3.56	0.05	93.9	17	0.008	0.009	0.024	31229
Tomato powder	Vegetables and Vegetable Products	12.91	0.166	0.134	16.5	0.1167	1.927	74.68	43.9	0.44	3.06	302	0.062	0.066	0.179	31230
Tomato products, canned, paste, with salt added	Vegetables and Vegetable Products	4.32	0.036	0.79	4.1	0.0219	1.014	18.91	12.18	0.47	73.5	82	0.1	0.067	0.159	31231
Tomato products, canned, paste, without salt added	Vegetables and Vegetable Products	4.32	0.036	0.098	4.1	0.0219	1.014	18.91	12.18	0.47	73.5	82	0.1	0.067	0.16	31232
Tomato products, canned, puree, with salt added	Vegetables and Vegetable Products	1.65	0.018	0.399	1.9	0.0106	0.439	8.98	4.83	0.21	87.88	38	0.029	0.031	0.086	31233
Tomato products, canned, puree, without salt added	Vegetables and Vegetable Products	1.65	0.018	0.028	1.9	0.0106	0.439	8.98	4.83	0.21	87.88	38	0.029	0.031	0.086	31234
Tomato products, canned, sauce	Vegetables and Vegetable Products	1.32	0.013	0.524	1.5	0.007	0.331	5.38	4.25	0.18	91.12	24	0.025	0.027	0.073	31235
Tomato products, canned, sauce, with mushrooms	Vegetables and Vegetable Products	1.45	0.013	0.452	1.5	0.0124	0.38	8.43	5.77	0.13	87.97	35	0.017	0.01	0.05	31238
Tomato products, canned, sauce, with onions, green peppers, and celery	Vegetables and Vegetable Products	0.94	0.013	0.546	1.4	0.0132	0.398	8.77	7.36	0.74	88.28	41	0.133	0.102	0.337	31240
Tomato sauce, no salt added	Vegetables and Vegetable Products	1.3	0.014	0.011	1.5	0.0131	0.371	8.71	5.22	0.2	89.1	42	0.028	0.029	0.079	31242
Tomatoes, green, raw	Vegetables and Vegetable Products	1.2	0.013	0.013	1.1	0.0234	0.204	5.1	4	0.2	93	23	0.028	0.03	0.081	31244
Tomatoes, red, ripe, canned, packed in tomato juice	Vegetables and Vegetable Products	0.78	0.031	0.143	1	0.0093	0.188	4	2.38	0.13	94.28	17	0.018	0.021	0.052	31246
Tomatoes, red, ripe, canned, packed in tomato juice, no salt added	Vegetables and Vegetable Products	0.78	0.031	0.01	1	0.0093	0.188	4	2.38	0.13	94.28	17	0.018	0.021	0.052	31247
Tomatoes, red, ripe, canned, stewed	Vegetables and Vegetable Products	0.91	0.034	0.221	1	0.0079	0.207	6.19	3.52	0.19	91.54	26	0.026	0.029	0.077	31248
Tomatoes, red, ripe, cooked	Vegetables and Vegetable Products	0.95	0.011	0.011	0.7	0.0228	0.218	4.01	2.49	0.11	94.34	18	0.015	0.016	0.044	31250
Tomatoes, red, ripe, cooked, with salt	Vegetables and Vegetable Products	0.95	0.011	0.247	0.7	0.0228	0.218	4.01	2.49	0.11	94.34	18	0.015	0.016	0.044	31252
Tomatoes, red, ripe, raw, year round average	Vegetables and Vegetable Products	0.88	0.01	0.005	1.2	0.0137	0.237	3.89	2.63	0.2	94.52	18	0.028	0.031	0.083	31253
Tomatoes, sun-dried	Vegetables and Vegetable Products	14.11	0.11	2.095	12.3	0.0392	3.427	55.76	37.59	2.97	14.56	258	0.426	0.487	1.115	31254
Turnip greens and turnips, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	2.99	0.128	0.255	3.1	0.0182	0.216	4.74	0.95	0.38	91.04	34	0.085	0.024	0.16	31259
Turnip greens and turnips, frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	2.99	0.128	0.019	3.1	0.0182	0.216	4.85	1.07	0.38	91.04	35	0.085	0.024	0.16	31260
Turnip greens, canned, no salt added	Vegetables and Vegetable Products	1.36	0.118	0.029	1.3	0.0155	0.141	2.81	0.42	0.3	94.69	19	0.07	0.02	0.12	31262
Turnip greens, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	1.14	0.137	0.265	3.5	0.0274	0.203	4.36	0.53	0.23	93.2	20	0.053	0.015	0.091	31264
Turnip greens, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	1.14	0.137	0.029	3.5	0.0274	0.203	4.36	0.53	0.23	93.2	20	0.053	0.015	0.091	31265
Turnip greens, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	3.35	0.152	0.251	3.4	0.0218	0.224	4.98	0.75	0.42	90.4	29	0.099	0.028	0.17	31266
Turnip greens, frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	3.35	0.152	0.015	3.4	0.0218	0.224	4.98	0.75	0.42	90.4	29	0.099	0.028	0.17	31267
Turnip greens, raw	Vegetables and Vegetable Products	1.5	0.19	0.04	3.2	0.06	0.296	7.13	0.81	0.3	89.67	32	0.07	0.02	0.12	31269
Turnips, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	0.71	0.022	0.286	2	0.0116	0.135	5.06	2.99	0.08	93.6	22	0.008	0.005	0.042	31270
Turnips, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	0.71	0.033	0.016	2	0.0116	0.177	5.06	2.99	0.08	93.6	22	0.008	0.005	0.042	31271
Turnips, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	1.53	0.032	0.272	2	0.0039	0.182	3.76	1.76	0.24	93.6	21	0.025	0.015	0.125	31272
Turnips, frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	1.53	0.032	0.036	2	0.0039	0.182	4.35	2.35	0.24	93.6	23	0.025	0.015	0.125	31273
Turnips, raw	Vegetables and Vegetable Products	0.9	0.03	0.067	1.8	0.021	0.191	6.43	3.8	0.1	91.87	28	0.011	0.006	0.053	31275
USDA Commodity, Potato wedges, frozen	Vegetables and Vegetable Products	2.7	0.015	0.049	2	0.0112	0.394	25.5	0.3	2.2	68.3	123	0.55	1.451	0.102	31276
Vegetable juice cocktail, canned	Vegetables and Vegetable Products	0.63	0.011	0.198	0.8	0.0277	0.193	4.55	3.3	0.09	93.52	19	0.013	0.014	0.038	31277
Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added	Vegetables and Vegetable Products	1.4	0.021	0.026	3.1	0.0038	0.138	7.31	2.41	0.2	90.2	37	0.039	0.022	0.098	31278
Vegetables, mixed, canned, drained solids	Vegetables and Vegetable Products	2.59	0.027	0.149	3	0.005	0.291	9.26	2.41	0.25	87.01	49	0.051	0.016	0.119	31279
Vegetables, mixed, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	2.86	0.025	0.271	4.4	0.0032	0.169	13.09	3.12	0.15	83.23	60	0.031	0.01	0.072	31281
Vegetables, mixed, frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	2.86	0.025	0.035	4.4	0.0032	0.169	13.09	3.12	0.15	83.23	65	0.031	0.01	0.072	31282
Waterchestnuts, chinese, (matai), raw	Vegetables and Vegetable Products	1.4	0.011	0.014	3	0.004	0.584	23.94	4.8	0.1	73.46	97	0.026	0.002	0.043	31286
Watercress, raw	Vegetables and Vegetable Products	2.3	0.12	0.041	0.5	0.043	0.33	1.29	0.2	0.1	95.11	11	0.027	0.008	0.035	31288
Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt	Vegetables and Vegetable Products	0.4	0.018	0.343	1	0.0105	0.005	2.45	1.18	0.2	96.06	11	0.016	0.037	0.088	31289
Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt	Vegetables and Vegetable Products	0.4	0.018	0.107	1	0.0105	0.005	3.04	1.18	0.2	96.06	14	0.016	0.037	0.088	31290
Yam, cooked, boiled, drained, or baked, with salt	Vegetables and Vegetable Products	1.49	0.014	0.244	3.9	0.0121	0.67	26.99	0.49	0.14	70.13	114	0.029	0.005	0.06	31297
Yam, cooked, boiled, drained, or baked, without salt	Vegetables and Vegetable Products	1.49	0.014	0.008	3.9	0.0121	0.67	27.48	0.49	0.14	70.13	116	0.029	0.005	0.06	31298
Yam, raw	Vegetables and Vegetable Products	1.53	0.017	0.009	4.1	0.0171	0.816	27.88	0.5	0.17	69.6	118	0.037	0.006	0.076	31299
Yambean (jicama), raw	Vegetables and Vegetable Products	0.72	0.012	0.004	4.9	0.0202	0.15	8.82	1.8	0.09	90.07	38	0.021	0.005	0.043	31302
Nuts, almond butter, plain, with salt added	Nut and Seed Products	20.96	0.347	0.215	10.3	0	0.748	18.82	4.43	55.5	1.64	614	4.152	32.445	13.613	31311
Nuts, almond butter, plain, without salt added	Nut and Seed Products	20.96	0.347	0.007	10.3	0	0.748	18.82	4.43	55.5	1.64	614	4.152	32.445	13.613	31312
Nuts, almond paste	Nut and Seed Products	9	0.172	0.009	4.8	0.0001	0.314	47.81	36.25	27.74	14.08	458	2.629	18.012	5.821	31313
Nuts, almonds	Nut and Seed Products	21.22	0.264	0.001	12.2	0	0.705	21.67	3.89	49.42	4.7	575	3.731	30.889	12.07	31314
Nuts, almonds, blanched	Nut and Seed Products	21.4	0.236	0.019	9.9	0	0.659	18.67	4.63	52.52	4.51	590	3.953	33.415	12.368	31315
Nuts, almonds, dry roasted, with salt added	Nut and Seed Products	21.06	0.267	0.339	10.9	0	0.712	21.2	4.93	52.05	2.53	595	4.03	32.383	12.995	31316
Nuts, almonds, dry roasted, without salt added	Nut and Seed Products	21.06	0.267	0.003	10.9	0	0.712	21.2	4.93	52.05	2.53	595	4.03	32.383	12.995	31317
Nuts, almonds, oil roasted, with salt added	Nut and Seed Products	21.23	0.291	0.339	10.5	0	0.699	17.68	4.55	55.17	2.8	607	4.208	34.793	13.519	31319
Nuts, almonds, oil roasted, without salt added	Nut and Seed Products	21.23	0.291	0.001	10.5	0	0.699	17.68	4.55	55.17	2.8	607	4.208	34.793	13.519	31320
Nuts, brazilnuts, dried, unblanched	Nut and Seed Products	14.32	0.16	0.003	7.5	0.0007	0.659	12.27	2.33	66.43	3.48	656	15.137	24.548	20.577	31322
Nuts, cashew butter, plain, with salt added	Nut and Seed Products	17.56	0.043	0.614	2	0	0.546	27.57	5.01	49.41	2.96	587	9.763	29.122	8.354	31324
Nuts, cashew nuts, dry roasted, with salt added	Nut and Seed Products	15.31	0.045	0.64	3	0	0.565	32.69	5.01	46.35	1.7	574	9.157	27.317	7.836	31326
Nuts, cashew nuts, dry roasted, without salt added	Nut and Seed Products	15.31	0.045	0.016	3	0	0.565	32.69	5.01	46.35	1.7	574	9.157	27.317	7.836	31327
Nuts, cashew nuts, oil roasted, with salt added	Nut and Seed Products	16.84	0.043	0.308	3.3	0.0003	0.632	30.16	5.01	47.77	2.34	581	8.478	25.923	8.546	31328
Nuts, cashew nuts, oil roasted, without salt added	Nut and Seed Products	16.84	0.043	0.013	3.3	0.0003	0.632	29.87	5.01	47.77	3.48	580	8.478	25.923	8.546	31329
Nuts, cashew nuts, raw	Nut and Seed Products	18.22	0.037	0.012	3.3	0.0005	0.66	30.19	5.91	43.85	5.2	553	7.783	23.797	7.845	31330
Nuts, chestnuts, european, roasted	Nut and Seed Products	3.17	0.029	0.002	5.1	0.026	0.592	52.96	10.6	2.2	40.48	245	0.414	0.759	0.869	31340
Nuts, coconut cream, canned, sweetened	Nut and Seed Products	1.17	0.004	0.036	0.2	0	0.101	53.21	51.5	16.31	28.97	357	15.472	0.679	0.159	31345
Nuts, coconut meat, dried (desiccated), not sweetened	Nut and Seed Products	6.88	0.026	0.037	16.3	0.0015	0.543	23.65	7.35	64.53	3	660	57.218	2.745	0.706	31348
Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged	Nut and Seed Products	3.13	0.011	0.285	9.9	0	0.361	51.85	36.75	27.99	15.46	456	26.396	1.377	0.222	31350
Nuts, coconut meat, dried (desiccated), sweetened, shredded	Nut and Seed Products	2.88	0.015	0.262	4.5	0.0007	0.337	47.67	43.17	35.49	12.55	501	31.468	1.51	0.388	31351
Nuts, coconut meat, raw	Nut and Seed Products	3.33	0.014	0.02	9	0.0033	0.356	15.23	6.23	33.49	46.99	354	29.698	1.425	0.366	31353
Nuts, coconut milk, raw (liquid expressed from grated meat and water)	Nut and Seed Products	2.29	0.016	0.015	2.2	0.0028	0.263	5.54	3.34	23.84	67.62	230	21.14	1.014	0.261	31356
Nuts, coconut water (liquid from coconuts)	Nut and Seed Products	0.72	0.024	0.105	1.1	0.0024	0.25	3.71	2.61	0.2	94.99	19	0.176	0.008	0.002	31357
Nuts, hazelnuts or filberts	Nut and Seed Products	14.95	0.114	0	9.7	0.0063	0.68	16.7	4.34	60.75	5.31	628	4.464	45.652	7.92	31364
Nuts, hazelnuts or filberts, blanched	Nut and Seed Products	13.7	0.149	0	11	0.002	0.658	17	3.49	61.15	5.79	629	4.669	48.192	5.558	31365
Nuts, hazelnuts or filberts, dry roasted, without salt added	Nut and Seed Products	15.03	0.123	0	9.4	0.0038	0.755	17.6	4.89	62.4	2.52	646	4.511	46.608	8.463	31366
Nuts, macadamia nuts, dry roasted, with salt added	Nut and Seed Products	7.79	0.07	0.265	8	0.0007	0.363	12.83	4.14	76.08	1.61	716	11.947	59.275	1.498	31368
Nuts, macadamia nuts, dry roasted, without salt added	Nut and Seed Products	7.79	0.07	0.004	8	0.0007	0.363	13.38	4.14	76.08	1.61	718	11.947	59.275	1.498	31369
Nuts, macadamia nuts, raw	Nut and Seed Products	7.91	0.085	0.005	8.6	0.0012	0.368	13.82	4.57	75.77	1.36	718	12.061	58.877	1.502	31370
Nuts, mixed nuts, dry roasted, with peanuts, with salt added	Nut and Seed Products	17.3	0.07	0.669	9	0.0004	0.597	25.35	4.64	51.45	1.75	594	6.899	31.395	10.768	31371
Nuts, mixed nuts, with peanuts, oil roasted, with salt added	Nut and Seed Products	16.76	0.108	0.419	9	0.0005	0.581	21.41	4.28	56.33	2.03	617	8.725	31.695	13.299	31375
Nuts, mixed nuts, without peanuts, oil roasted, with salt added	Nut and Seed Products	15.52	0.106	0.306	5.5	0.0005	0.544	22.27	4.38	56.17	3.15	615	9.087	33.137	11.449	31376
Nuts, pecans	Nut and Seed Products	9.17	0.07	0	9.6	0.0011	0.41	13.86	3.97	71.97	3.52	691	6.18	40.801	21.614	31377
Nuts, pecans, dry roasted, with salt added	Nut and Seed Products	9.5	0.072	0.383	9.4	0.0007	0.424	13.55	4.06	74.27	1.12	710	6.283	43.957	20.572	31378
Nuts, pecans, dry roasted, without salt added	Nut and Seed Products	9.5	0.072	0.001	9.4	0.0007	0.424	13.55	4.06	74.27	1.12	710	6.283	43.957	20.572	31379
Nuts, pecans, oil roasted, with salt added	Nut and Seed Products	9.2	0.067	0.393	9.5	0.0007	0.392	13.01	3.97	75.23	1.13	715	7.238	40.97	23.584	31380
Nuts, pecans, oil roasted, without salt added	Nut and Seed Products	9.2	0.067	0.001	9.5	0.0007	0.392	13.01	3.97	75.23	1.13	715	7.238	40.97	23.584	31381
Nuts, pine nuts, dried	Nut and Seed Products	13.69	0.016	0.002	3.7	0.0008	0.597	13.08	3.59	68.37	2.28	673	4.899	18.764	34.071	31383
Nuts, pistachio nuts, dry roasted, with salt added	Nut and Seed Products	20.95	0.107	0.428	9.9	0.003	1.007	28.66	7.74	44.82	1.79	564	5.456	23.676	13.448	31385
Nuts, pistachio nuts, dry roasted, without salt added	Nut and Seed Products	20.95	0.107	0.006	9.9	0.003	1.007	29.38	7.74	44.82	1.85	567	5.456	23.676	13.448	31386
Nuts, pistachio nuts, raw	Nut and Seed Products	20.27	0.105	0.001	10.3	0.0056	1.025	27.51	7.66	45.39	3.91	562	5.556	23.82	13.744	31387
Nuts, walnuts, black, dried	Nut and Seed Products	24.06	0.061	0.002	6.8	0.0017	0.523	9.91	1.1	59	4.56	618	3.368	15.004	35.077	31388
Nuts, walnuts, english	Nut and Seed Products	15.23	0.098	0.002	6.7	0.0013	0.441	13.71	2.61	65.21	4.07	654	6.126	8.933	47.174	31389
Seeds, flaxseed	Nut and Seed Products	18.29	0.255	0.03	27.3	0.0006	0.813	28.88	1.55	42.16	6.96	534	3.663	7.527	28.73	31400
Seeds, pumpkin and squash seed kernels, dried	Nut and Seed Products	30.23	0.046	0.007	6	0.0019	0.809	10.71	1.4	49.05	5.23	559	8.659	16.242	20.976	31403
Seeds, pumpkin and squash seed kernels, roasted, with salt added	Nut and Seed Products	29.84	0.052	0.256	6.5	0.0018	0.788	14.71	1.29	49.05	2.03	574	8.544	15.734	19.856	31404
Seeds, pumpkin and squash seed kernels, roasted, without salt	Nut and Seed Products	29.84	0.052	0.018	6.5	0.0018	0.788	14.71	1.29	49.05	2.03	574	8.544	15.734	19.856	31405
Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)	Nut and Seed Products	17	0.426	0.115	9.3	0	0.414	21.19	0.49	53.76	3.05	595	7.529	20.302	23.564	31412
Seeds, sesame seed kernels, dried (decorticated)	Nut and Seed Products	20.45	0.06	0.047	11.6	0	0.37	11.73	0.48	61.21	3.75	631	9.055	23.924	25.491	31419
Seeds, sesame seed kernels, toasted, with salt added (decorticated)	Nut and Seed Products	16.96	0.131	0.588	16.9	0	0.406	26.04	0.48	48	5	567	6.722	18.127	21.039	31420
Seeds, sesame seed kernels, toasted, without salt added (decorticated)	Nut and Seed Products	16.96	0.131	0.039	16.9	0	0.406	26.04	0.48	48	5	567	6.722	18.127	21.039	31421
Seeds, sesame seeds, whole, dried	Nut and Seed Products	17.73	0.975	0.011	11.8	0	0.468	23.45	0.3	49.67	4.69	573	6.957	18.759	21.773	31422
Seeds, sunflower seed butter, with salt added	Nut and Seed Products	17.28	0.064	0.331	5.7	0.0027	0.576	23.32	10.54	55.2	0.62	617	4.678	39.025	9.805	31425
Seeds, sunflower seed butter, without salt	Nut and Seed Products	17.28	0.064	0.003	5.7	0.0027	0.576	23.32	10.54	55.2	0.62	617	4.678	39.025	9.805	31426
Seeds, sunflower seed kernels, dried	Nut and Seed Products	20.78	0.078	0.009	8.6	0.0014	0.645	20	2.62	51.46	4.73	584	4.455	18.528	23.137	31428
Seeds, sunflower seed kernels, dry roasted, with salt added	Nut and Seed Products	19.33	0.07	0.41	9	0.0014	0.85	24.07	2.73	49.8	1.2	582	5.219	9.505	32.884	31429
Seeds, sunflower seed kernels, dry roasted, without salt	Nut and Seed Products	19.33	0.07	0.003	11.1	0.0014	0.85	24.07	2.73	49.8	1.2	582	5.219	9.505	32.884	31430
Seeds, sunflower seed kernels, oil roasted, with salt added	Nut and Seed Products	20.06	0.087	0.41	10.6	0.0011	0.483	22.89	3.11	51.3	1.54	592	7.068	8.063	34.294	31431
Seeds, sunflower seed kernels, oil roasted, without salt	Nut and Seed Products	20.06	0.087	0.003	10.6	0.0011	0.483	22.89	3.11	51.3	1.54	592	7.068	8.063	34.294	31432
Alcoholic beverage, daiquiri, prepared-from-recipe	Beverages	0.06	0.003	0.005	0.1	0.0016	0.021	6.94	5.58	0.06	69.74	186	0.006	0.006	0.016	32078
Alcoholic beverage, pina colada, prepared-from-recipe	Beverages	0.42	0.008	0.006	0.3	0.0049	0.071	22.66	22.33	1.88	64.99	174	1.636	0.082	0.033	32092
Beverage, Horchata, dry mix, unprepared, variety of brands, all with morro seeds	Beverages	7.5	0.06	0.003	4	0.0003	0.18	79.05	38.9	7.46	4.89	413	2.086	3.174	2.069	32121
Chocolate syrup	Beverages	2.1	0.014	0.072	2.6	0.0002	0.224	65.1	49.65	1.13	31	279	0.519	0.286	0.026	32168
Chocolate syrup, prepared with whole milk	Beverages	3.07	0.089	0.047	0.3	0	0.145	12.78	11.31	2.96	80.51	90	1.681	0.74	0.172	32169
Chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk	Beverages	3.27	0.141	0.05	0.4	0.0023	0.144	11.87	11.59	3.17	80.93	89	1.899	0.745	0.178	32171
Chocolate-flavor beverage mix for milk, powder, without added nutrients	Beverages	3.3	0.037	0.21	4.8	0.0007	0.591	90.9	83.88	3.1	0.9	405	1.834	1.009	0.091	32172
Chocolate-flavored drink, whey and milk based	Beverages	0.64	0.1	0.091	0.6	0.002	0.079	10.68	8.68	0.4	87.63	49	0.31	0.049	0.009	32174
Citrus fruit juice drink, frozen concentrate	Beverages	1.2	0.025	0.003	0.2	0.0953	0.393	40.2	28.63	0.1	57.4	162	0.007	0.007	0.015	32175
Citrus fruit juice drink, frozen concentrate, prepared with water	Beverages	0.34	0.009	0.004	0.1	0.0271	0.112	11.42	8.13	0.03	87.83	46	0.002	0.002	0.004	32176
Cocoa mix, no sugar added, powder	Beverages	15.49	0.576	0.876	7.5	0	2.702	71.93	37.65	3	3.4	377	1.777	0.979	0.088	32181
Cocoa mix, powder	Beverages	6.67	0.133	0.504	3.7	0.0002	0.712	83.73	65.55	4	1.5	398	2.377	1.325	0.114	32182
Cocoa mix, powder, prepared with water	Beverages	0.92	0.021	0.073	0.5	0	0.099	11.54	9.03	0.55	86.34	55	0.328	0.183	0.016	32183
Cocoa mix, with aspartame, low calorie, powder, with added calcium phosphorus, without added sodium or vitamin A	Beverages	25.1	1.44	0.653	1.1	0	2.702	58	55.58	3	3.4	359	1.777	0.979	0.088	32184
Cocoa mix, with aspartame, powder, prepared with water	Beverages	1.21	0.048	0.072	0.6	0	0.211	5.61	2.93	0.23	92.38	29	0.139	0.076	0.007	32185
Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener	Beverages	9	0.06	0.5	4.8	0	1.856	71.4	34.98	13.21	3.1	257	11.376	0.954	0.349	32186
Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener, decaffeinated	Beverages	9	0.06	0.5	4.8	0	1.856	71.4	34.98	13.21	3.1	257	11.376	0.954	0.349	32187
Coffee substitute, cereal grain beverage, powder	Beverages	6.01	0.058	0.083	23.3	0	2.443	78.42	4.63	2.52	7.99	360	0.603	0.356	1.225	32188
Coffee substitute, cereal grain beverage, prepared with water	Beverages	0.1	0.004	0.005	0.4	0	0.041	1.3	0.08	0.04	98.37	6	0.01	0.006	0.02	32190
Coffee, dry, powder, with whitener, reduced calorie	Beverages	1.96	0.018	0.819	0.5	0	0.909	59.94	59	29.1	6.16	509	25.128	1.705	0.576	32196
Coffee, instant, with sugar, cappuccino-flavor powder	Beverages	3.1	0.133	0.18	1.2	0.0005	0.831	85.94	69.16	5.56	1.3	406	3.422	1.604	0.241	32204
Coffee, instant, with sugar, mocha-flavor, powder	Beverages	5.29	0.271	0.317	1.9	0.0006	1.033	74.04	58.2	15.87	1.7	460	4.934	8.934	1.053	32206
Dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice	Beverages	2.19	0.127	0.061	0.8	0.0005	0.197	4.51	2.89	0.23	92.26	29	0.164	0.043	0.005	32216
Dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder	Beverages	25	1.412	0.659	9.4	0.0056	2.24	51.4	32.94	2.6	12.8	329	1.871	0.496	0.061	32217
Lemonade, frozen concentrate, pink	Beverages	0.22	0.008	0.004	0.3	0.0141	0.076	48.86	46.46	0.69	50.09	192	0.026	0.008	0.059	32243
Lemonade, frozen concentrate, pink, prepared with water	Beverages	0.05	0.004	0.004	0.1	0.0031	0.017	10.81	10.28	0.15	88.88	43	0.006	0.002	0.013	32244
Lemonade, frozen concentrate, white	Beverages	0.22	0.007	0.007	0.3	0.0131	0.072	49.89	44.46	0.7	49.06	196	0.025	0.008	0.059	32245
Malted drink mix, chocolate, powder	Beverages	5.1	0.06	0.19	4.8	0.0015	0.618	86.94	66.67	4.76	1.3	411	2.381	1.167	0.669	32256
Malted drink mix, chocolate, powder, prepared with whole milk	Beverages	3.37	0.098	0.06	0.5	0.0001	0.172	11.2	6.68	3.29	81.34	85	1.883	0.827	0.208	32257
Malted drink mix, chocolate, with added nutrients, powder	Beverages	4.9	0.443	0.594	4.7	0.1501	1.193	84.6	70.56	3.4	2.5	389	1.964	0.951	0.325	32258
Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk	Beverages	3.29	0.139	0.087	0.4	0.012	0.217	11.19	10.49	3.26	81.26	87	1.873	0.823	0.205	32259
Malted drink mix, natural, powder	Beverages	14.29	0.298	0.405	0.1	0.0029	0.758	71.21	47.62	9.52	2	428	4.762	2.157	1.429	32260
Malted drink mix, natural, powder, prepared with whole milk	Beverages	3.86	0.117	0.079	0.1	0.0002	0.183	10.23	9.56	3.62	81.4	88	2.039	0.903	0.276	32261
Malted drink mix, natural, with added nutrients, powder	Beverages	9.41	0.376	0.259	1.9	0.127	0.591	83.59	63.38	1.33	3.1	372	0.679	0.343	0.169	32262
Orange and apricot juice drink, canned	Beverages	0.3	0.005	0.002	0.1	0.02	0.08	12.7	12.06	0.1	86.7	51	0.01	0.031	0.022	32266
Orange-flavor drink, breakfast type, with pulp, frozen concentrate	Beverages	0.1	0.13	0.024	0.2	0.2431	0.435	42.9	41.85	0.5	55.2	172	0.078	0.226	0.197	32276
Pineapple and grapefruit juice drink, canned	Beverages	0.2	0.007	0.014	0.1	0.046	0.061	11.6	11.52	0.1	87.9	47	0.006	0.01	0.028	32278
Ready-to-drink reduced fat milk beverage, flavored and sweetened, with added calcium, vitamin A and vitamin D	Beverages	3.05	0.164	0.049	0.4	0.0002	0.13	12.08	11.4	1.83	82.32	77	1.124	0.47	0.075	32281
Shake, fast food, chocolate	Beverages	3.4	0.113	0.097	1.9	0.0004	0.2	20.5	18.6	3.7	71.5	127	2.313	1.075	0.14	32283
Shake, fast food, vanilla	Beverages	3.37	0.115	0.081	0.9	0	0.166	19.59	13.63	6.52	69.65	148	3.962	1.785	0.316	32285
Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder	Beverages	0.12	0.002	0.005	0.7	0	0.169	98.55	95.29	0.73	0.13	401	0.097	0.033	0.218	32300
Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder, prepared	Beverages	0.01	0.002	0.002	0.1	0	0.015	8.61	8.33	0.06	91.18	35	0.008	0.002	0.018	32302
Tea, instant, unsweetened, lemon-flavored, powder	Beverages	7.4	0.028	0.055	5	0	3.453	78.52	4.52	0.18	4.3	345	0.047	0.012	0.117	32303
Crustaceans, crab, alaska king, imitation, made from surimi	Finfish and Shellfish Products	7.62	0.013	0.841	0.5	0	0.09	15	6.25	0.46	74.66	95	0.176	0.117	0.102	32334
